"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Southern","SM1","1986-02-01","1","Surface Water","N/A","N/A","0.8","N/A","N/A","N/A","N/A","16.5","N/A","N/A","N/A","32.7","N/A","N/A","N/A","N/A","N/A","10","10","N/A","98","N/A","N/A","N/A"
"Southern","SM1","1986-02-01","1","Middle Water","N/A","N/A","1.1","0.02","N/A","0.05","N/A","16.7","4","N/A","N/A","32.7","N/A","8","N/A","N/A","N/A","5","<5","N/A","97","1.2","N/A","1"
"Southern","SM1","1986-02-01","1","Bottom Water","N/A","N/A","1.1","N/A","N/A","N/A","N/A","16.6","N/A","N/A","N/A","32.7","N/A","N/A","N/A","N/A","N/A","<5","<5","N/A","95","N/A","N/A","N/A"
"Southern","SM1","1986-04-23","1","Surface Water","N/A","N/A","1.2","N/A","N/A","N/A","N/A","21.7","N/A","N/A","N/A","34.3","N/A","N/A","N/A","N/A","N/A","23","19","4.9","66","1","N/A","N/A"
"Southern","SM1","1986-04-23","1","Middle Water","N/A","N/A","1.3","<0.02","0.17","0.17","N/A","21.7","1.5","N/A","N/A","34.3","N/A","8.1","N/A","<0.002","0.004","N/A","N/A","4.9","67","N/A","N/A","<0.1"
"Southern","SM1","1986-04-23","1","Bottom Water","N/A","N/A","1.4","N/A","N/A","N/A","N/A","21.8","N/A","N/A","N/A","34.3","N/A","N/A","N/A","N/A","N/A","16","16","4.9","66","N/A","N/A","N/A"
"Southern","SM1","1986-06-17","1","Surface Water","N/A","N/A","1.9","N/A","N/A","N/A","N/A","28.8","N/A","N/A","N/A","26.2","0.9","N/A","N/A","N/A","N/A","<1","<1","9","138","15","N/A","N/A"
"Southern","SM1","1986-06-17","1","Middle Water","N/A","N/A","2","0.03","0.6","0.58","N/A","28.3","3.5","N/A","N/A","29.4","N/A","8.2","N/A","0.009","0.006","N/A","N/A","9.1","138","N/A","N/A","1"
"Southern","SM1","1986-06-17","1","Bottom Water","N/A","N/A","8.2","N/A","N/A","N/A","N/A","26","N/A","N/A","N/A","32.9","N/A","N/A","N/A","N/A","N/A","9","9","5.1","74","N/A","N/A","N/A"
"Southern","SM1","1986-08-15","1","Surface Water","0.5","0.002","1.3","0.05","0.39","0.39","0.03","29.6","0.5","0.72","4.9","30.1","<0.2","8.1","<0.01","<0.002","0.003","1","1","5.5","87","0.8","0.022","0.7"
"Southern","SM1","1986-08-15","1","Middle Water","0.5","0.001","0.9","N/A","0.35","0.34","0.02","28.8","1","0.66","4.9","30.1","<0.2","8.1","<0.01","<0.002","0.005","N/A","N/A","5.6","89","1.5","0.012","0.8"
"Southern","SM1","1986-08-15","1","Bottom Water","4","0.004","39","0.05","0.37","0.35","0.09","28","32","1.5","4.9","31.4","0.6","8","0.01","0.01","0.013","2","2","4.8","67","2.1","0.07","0.5"
"Southern","SM1","1986-11-06","1","Surface Water","1","0.003","5","0.02","0.28","0.25","0.06","24.2","4","0.53","2.1","33.7","0.8","8.4","0.01","0.009","0.016","1","1","6.8","98","2.1","0.034","0.5"
"Southern","SM1","1986-11-06","1","Middle Water","0.5","0.003","6.2","0.02","0.38","0.36","0.06","24.1","5","0.52","2.1","33.8","0.6","8.3","<0.01","0.009","0.014","N/A","N/A","6.7","96","2.3","0.039","0.4"
"Southern","SM1","1986-11-06","1","Bottom Water","<0.5","0.003","6.4","0.03","0.31","0.29","0.06","24","5","0.48","2.1","33.8","1","8.4","0.029","0.009","0.015","13","12","6.6","95","2.3","0.036","0.4"
"Southern","SM1","1986-12-15","1","Surface Water","1","0.001","1.7","0.05","0.43","0.31","0.14","19","1","2.4","3.3","31.6","0.3","8.3","0.029","0.015","0.11","1","1","6.8","89","1.3","0.014","0.6"
"Southern","SM1","1986-12-15","1","Middle Water","1","0.001","1.8","0.05","0.34","0.21","0.14","19","1","2.3","3.3","31.6","<0.2","8.3","0.01","0.015","0.11","N/A","N/A","6.9","90","1.9","0.014","0.5"
"Southern","SM1","1986-12-15","1","Bottom Water","1","0.001","1.4","0.07","2.95","2.8","0.16","19","1","2.3","3.3","31.6","0.7","8.3","0.02","0.017","0.13","6","5","6.9","90","1.3","0.015","0.4"
"Southern","SM1","1987-02-10","1","Surface Water","1","0.001","2","0.04","0.19","0.18","0.04","17.7","3.5","0.5","4","32.5","<0.2","8.1","0.01","0.005","0.006","<1","<1","7.6","96","0.8","0.025","0.7"
"Southern","SM1","1987-02-10","1","Middle Water","1","0.002","2","0.06","0.24","0.23","0.06","17.4","2","0.51","4","32.5","0.5","8.1","0.01","0.007","0.004","N/A","N/A","7.8","98","<0.2","0.051","0.9"
"Southern","SM1","1987-02-10","1","Bottom Water","1","0.001","1.8","0.07","0.26","0.25","0.04","17.2","2.5","0.49","4","32.5","<0.2","8.2","0.01","0.008","0.006","<1","<1","7.7","97","0.8","0.024","0.7"
"Southern","SM1","1987-04-16","1","Surface Water","N/A","0.001","2.9","0.04","0.39","0.37","0.04","20.6","N/A","0.25","N/A","32.5","N/A","8.2","0.008","0.009","0.015","<1","<1","6.9","92","N/A","0.015","0.4"
"Southern","SM1","1987-04-16","1","Middle Water","N/A","0.001","2.3","0.04","0.29","0.27","0.03","20.4","N/A","0.23","N/A","32.3","N/A","8.3","0.006","0.007","0.011","N/A","N/A","6.9","92","N/A","0.015","0.4"
"Southern","SM1","1987-04-16","1","Bottom Water","N/A","0.001","7.6","0.05","0.25","0.22","0.04","20.4","N/A","0.4","N/A","32.4","N/A","8.2","0.008","0.013","0.02","1","1","6.8","90","N/A","0.007","<0.1"
"Southern","SM1","1987-06-29","1","Surface Water","2","0.006","3","0.05","0.29","0.29","0.04","29.2","4","0.18","3.3","25.7","9.7","8.5","<0.005","<0.002","0.003","70","30","10","144","2.1","0.033","2.7"
"Southern","SM1","1987-06-29","1","Middle Water","2","0.002","3.1","0.04","0.68","0.64","0.07","25.1","2","0.25","3.3","31.4","1.3","8.1","<0.005","0.013","0.025","N/A","N/A","3.9","54","5.3","0.03","1.4"
"Southern","SM1","1987-06-29","1","Bottom Water","2","0.001","2.3","<0.02","0.43","0.41","0.05","23.6","4.5","0.65","3.3","33.1","<0.2","8","0.009","0.018","<0.002","27","24","3.6","49","0.4","0.03","0.8"
"Southern","SM1","1987-08-25","1","Surface Water","3.5","0.002","2.2","0.05","0.24","0.23","0.04","28.2","7.5","0.11","3.5","31.1","0.9","8.1","<0.005","0.002","0.004","<1","<1","6.1","96","5.1","0.029","1.4"
"Southern","SM1","1987-08-25","1","Middle Water","3","0.002","4.1","0.04","0.24","0.23","0.04","27.6","7","0.25","3.5","32.2","0.2","8","0.006","0.007","0.007","N/A","N/A","5.5","86","4.6","0.03","0.9"
"Southern","SM1","1987-08-25","1","Bottom Water","4","0.001","9.4","0.03","0.45","0.41","0.07","26.4","16","1.6","3.5","33.1","<0.2","7.9","0.005","0.026","0.017","9","8","4.6","70","1.3","0.028","0.4"
"Southern","SM1","1987-10-15","1","Surface Water","1","0.002","4.4","0.04","0.37","0.36","0.03","27.5","1","0.1","2.5","33.1","<0.2","8.1","<0.005","0.003","<0.002","7","6","6.1","94","5.1","0.025","0.2"
"Southern","SM1","1987-10-15","1","Middle Water","0.5","0.001","4.2","0.03","0.35","0.35","0.02","27.4","0.5","0.15","2.5","33.3","0.6","8.1","<0.005","0.002","<0.002","N/A","N/A","5.9","89","3.8","0.017","<0.1"
"Southern","SM1","1987-10-15","1","Bottom Water","1","0.001","8.5","0.08","0.38","0.37","0.04","27.4","4.5","0.35","2.5","33.4","<0.2","8.1","<0.005","0.012","<0.002","7","6","6","91","3.4","0.023","<0.1"
"Southern","SM1","1987-12-21","1","Surface Water","1","0.002","6","0.03","0.78","0.69","0.12","17.2","3.5","0.9","2.8","31.7","<0.2","8.3","0.012","0.013","0.073","1","1","7.9","100","0.8","0.033","0.3"
"Southern","SM1","1987-12-21","1","Middle Water","1","0.002","5","0.04","0.67","0.59","0.12","17.2","4","0.9","2.8","31.8","<0.2","8.4","0.017","0.008","0.076","N/A","N/A","8.1","102","0.8","0.033","<0.1"
"Southern","SM1","1987-12-21","1","Bottom Water","2","0.002","10","0.04","0.63","0.55","0.12","17.1","5.5","0.9","2.8","31.8","<0.2","8.4","0.015","0.013","0.07","16","15","7.9","99","1","0.033","0.1"
"Southern","SM1","1988-02-02","1","Surface Water","4","0.001","1.4","<0.02","0.08","<0.05","0.06","17.5","7.5","0.78","5","32.5","0.4","8.2","<0.005","0.011","0.023","1","1","7.5","95","0.6","0.026","0.9"
"Southern","SM1","1988-02-02","1","Middle Water","1.5","0.002","1.3","0.02","0.33","0.28","0.11","17.4","2","0.75","5","32.6","<0.2","8.2","0.01","0.012","0.035","2","1","7.4","94","0.6","0.064","0.4"
"Southern","SM1","1988-02-02","1","Bottom Water","5","0.001","2.1","0.06","0.34","0.3","0.05","17.6","14","0.65","5","32.7","<0.2","8.2","0.005","0.009","0.026","1","1","7.4","95","2.7","0.018","0.5"
"Southern","SM1","1988-04-25","1","Surface Water","1","0.001","2.2","0.06","0.37","0.36","0.03","21","1","0.59","N/A","33.9","1.3","8.2","0.005","0.002","0.003","7","1","7.3","100","0.5","0.026","0.4"
"Southern","SM1","1988-04-25","1","Middle Water","2","0.001","1.7","<0.02","0.34","0.33","0.02","20.9","3","0.45","N/A","33.9","1","8.2","<0.005","0.002","0.003","1","1","7.4","101","0.5","0.016","0.2"
"Southern","SM1","1988-04-25","1","Bottom Water","0.5","0.001","3","<0.02","0.33","0.33","0.01","20.7","0.5","0.42","N/A","33.9","<0.2","8.2","<0.005","<0.002","0.002","1","1","7.4","101","2.4","0.006","0.3"
"Southern","SM1","1988-06-28","1","Surface Water","2","0.005","2.7","0.02","0.59","0.45","0.19","27.8","2","2","2.3","28.6","3.4","8.3","<0.005","0.021","0.12","4","2","7.3","108","3.8","0.045","1.6"
"Southern","SM1","1988-06-28","1","Middle Water","1.5","0.004","2.4","0.02","0.59","0.48","0.16","25.5","2","1.7","2.3","33.4","3.4","8.4","0.007","0.017","0.097","66","48","4.8","71","3.1","0.045","2"
"Southern","SM1","1988-06-28","1","Bottom Water","1.5","0.002","3","0.02","0.35","0.32","0.07","23.6","3.5","0.89","2.3","34.3","2.9","8.1","0.011","0.014","0.018","3","3","5.1","73","8.6","0.041","0.3"
"Southern","SM1","1988-08-23","1","Surface Water","2","0.005","4.4","<0.02","0.46","0.44","0.05","26.2","3.5","0.24","1.6","25.8","12","8.8","0.008","0.004","0.019","1","1","10.1","150","23","0.024","3.3"
"Southern","SM1","1988-08-23","1","Middle Water","1","0.007","3.6","0.05","0.5","0.47","0.06","22.7","3","0.3","1.6","32.9","9","8.9","<0.005","0.004","0.027","1","1","4.4","62","33","0.03","3.8"
"Southern","SM1","1988-08-23","1","Bottom Water","0.5","0.001","3.9","0.03","0.41","0.32","0.11","20.9","2","0.95","1.6","34.2","1.9","8.2","<0.005","0.051","0.036","1","1","3.4","47","2.1","0.018","0.5"
"Southern","SM1","1988-12-19","1","Surface Water","1.5","N/A","8.8","0.03","0.3","0.26","0.09","18.7","5","0.67","1.5","N/A","0.2","8.4","0.005","0.009","0.035","2","2","7.3","94","0.8","0.044","0.2"
"Southern","SM1","1988-12-19","1","Middle Water","1.5","N/A","12.2","0.03","0.32","0.28","0.08","18.5","6.5","0.58","1.5","N/A","0.3","8.4","0.005","0.009","0.032","5","3","7.2","93","0.6","0.034","0.3"
"Southern","SM1","1988-12-19","1","Bottom Water","2","N/A","10.1","0.03","0.31","0.26","0.09","18.5","6","0.6","1.5","N/A","<0.2","8.1","0.005","0.009","0.036","2","2","7.2","93","1","0.042","0.3"
"Southern","SM1","1989-02-28","1","Surface Water","1","0.001","2.7","0.02","0.12","0.07","0.06","15.3","2.5","0.73","N/A","32.2","0.5","8.3","0.006","0.005","0.048","1","1","8.3","101","0.6","0.005","0.5"
"Southern","SM1","1989-02-28","1","Middle Water","1","0.001","3","0.02","0.16","0.11","0.07","15","3","0.77","N/A","32.2","0.2","8.3","0.016","0.005","0.048","2","2","8.4","101","1","0.016","0.9"
"Southern","SM1","1989-02-28","1","Bottom Water","1","0.001","3","<0.02","0.15","0.1","0.06","15","3","0.73","N/A","32.2","0.2","8.3","0.008","0.005","0.045","1","1","8.2","99","1.1","0.014","0.7"
"Southern","SM1","1989-04-24","1","Surface Water","1","0.003","2.7","0.02","0.22","0.21","0.06","21.2","1","0.76","4.4","33.4","<0.2","8.3","0.011","0.004","0.01","1","1","6.8","93","1.2","0.048","0.5"
"Southern","SM1","1989-04-24","1","Middle Water","0.5","0.003","2.6","<0.02","0.18","0.16","0.07","20.8","0.5","0.41","4.4","33.4","<0.2","8.3","0.011","0.005","0.01","14","12","6.7","91","0.7","0.051","0.5"
"Southern","SM1","1989-04-24","1","Bottom Water","1","0.001","3.1","<0.02","0.2","0.18","0.07","20.7","1.5","0.57","4.4","33.5","<0.2","3.3","0.015","0.005","0.012","36","26","6.7","91","1.2","0.057","0.6"
"Southern","SM1","1989-06-23","1","Surface Water","0.5","0.002","2.4","<0.02","0.08","0.07","0.02","26.1","0.5","0.08","4","30.2","0.3","8.4","<0.005","<0.002","0.006","1","1","6.7","97","3.1","0.013","1"
"Southern","SM1","1989-06-23","1","Middle Water","0.5","0.005","2.4","<0.02","0.08","0.07","0.05","26.3","0.5","0.05","4","30.6","0.3","8.4","0.005","<0.002","0.004","1","1","6.7","98","2.3","0.04","0.9"
"Southern","SM1","1989-06-23","1","Bottom Water","0.5","0.003","3.3","0.02","0.1","0.08","0.04","25.6","1","0.3","4","31.5","0.6","8.4","0.006","0.004","0.011","1","1","5.6","81","1.8","0.029","0.9"
"Southern","SM1","1989-08-25","1","Surface Water","2","0.008","2.9","0.03","0.46","0.45","0.04","26.7","2","0.69","1.5","31.1","2.9","8.9","<0.005","0.002","0.01","4","4","7.2","103","9","0.03","2.3"
"Southern","SM1","1989-08-25","1","Middle Water","1.5","0.007","2.8","<0.02","0.32","0.31","0.03","26.1","2","0.64","1.5","31.4","2","8.9","0.005","<0.002","0.003","8","8","6.9","95","6.9","0.027","2.6"
"Southern","SM1","1989-08-25","1","Bottom Water","<0.5","0.01","2.4","0.02","0.53","0.52","0.05","24.7","3","0.52","1.5","32.3","1.1","8.9","0.007","0.002","0.008","2","2","4.8","65","5.9","0.037","2"
"Southern","SM1","1989-10-27","1","Surface Water","0.5","0.004","1.5","0.02","0.26","0.22","0.07","24.9","0.5","0.84","5.2","32.1","0.4","8.7","0.008","0.01","0.034","1","1","6.9","100","1.9","0.022","0.8"
"Southern","SM1","1989-10-27","1","Middle Water","1","0.004","1.7","0.03","0.35","0.29","0.09","24.6","1","0.8","5.2","32.1","<0.2","8.7","0.008","0.017","0.047","1","1","6.8","99","2.4","0.024","0.8"
"Southern","SM1","1989-10-27","1","Bottom Water","1","0.006","2.1","0.04","0.29","0.22","0.11","24.6","1.5","0.88","5.2","32","0.6","8.6","0.019","0.02","0.052","1","1","6.5","95","1.4","0.039","0.5"
"Southern","SM1","1989-12-18","1","Surface Water","2","0.001","7.4","0.06","0.64","0.59","0.07","19.1","6.5","0.06","1","32","0.3","8.4","<0.002","0.023","0.024","1","1","6.7","89","1.1","0.02","1.5"
"Southern","SM1","1989-12-18","1","Middle Water","1","0.002","9.5","0.09","0.47","0.42","0.08","19.1","5.5","0.06","1","32","0.4","8.4","0.009","0.023","0.026","2","2","6.7","88","1.4","0.03","0.9"
"Southern","SM1","1989-12-18","1","Bottom Water","2","0.002","7.8","0.09","0.44","0.39","0.07","19.1","11","0.58","1","32.1","0.2","8.4","0.007","0.023","0.023","3","3","6.6","87","1.2","0.028","1.1"
"Southern","SM1","1990-02-27","1","Surface Water","0.5","0.001","6.4","0.05","0.35","0.29","0.07","16.1","2","0.86","4","31","<0.2","8","0.029","0.007","0.049","16","16","9.2","102","0.5","0.015","0.4"
"Southern","SM1","1990-02-27","1","Middle Water","1","0.001","2.6","0.04","0.34","0.3","0.05","16.1","6.5","0.84","4","31.2","0.5","8.5","0.029","0.006","0.037","20","12","7.1","79","<0.2","0.007","0.3"
"Southern","SM1","1990-02-27","1","Bottom Water","1","0.001","5.9","0.04","0.4","0.34","0.07","16.1","6","0.92","4","31.2","0.3","8.6","0.004","0.006","0.051","22","21","7","78","0.3","0.01","0.4"
"Southern","SM1","1990-04-20","1","Surface Water","0.5","0.001","1.9","0.11","0.47","0.44","0.04","20","0.5","0.46","2","32.6","<0.2","7.4","<0.002","0.006","0.021","12","12","6.5","80","0.8","0.011","1.3"
"Southern","SM1","1990-04-20","1","Middle Water","0.5","0.007","1.9","0.02","0.48","0.44","0.16","19.9","1","0.56","2","32.6","<0.2","8.3","<0.002","0.008","0.035","20","19","6.3","77","0.5","0.12","1.1"
"Southern","SM1","1990-04-20","1","Bottom Water","0.5","0.001","1.8","0.02","0.43","0.33","0.1","19.9","0.5","0.47","2","32.7","<0.2","8.4","0.004","0.002","0.093","16","14","5.9","72","0.8","0.008","0.6"
"Southern","SM1","1990-06-22","1","Surface Water","1","0.002","2","0.04","0.45","0.37","0.09","29.4","1","0.12","2.1","30.6","1.4","8.8","<0.002","<0.002","0.079","1","1","8.5","128","4","0.009","0.5"
"Southern","SM1","1990-06-22","1","Middle Water","0.5","0.002","3.1","0.05","0.41","0.38","0.04","27.2","0.5","0.35","2.1","31.7","1.4","8.7","<0.002","0.009","0.02","39","27","5","73","7.7","0.011","0.4"
"Southern","SM1","1990-06-22","1","Bottom Water","0.5","0.004","3","0.07","0.48","0.37","0.14","26.7","1","0.64","2.1","32.4","0.3","8.7","0.005","0.018","0.095","44","29","5.5","78","1.6","0.022","<0.1"
"Southern","SM1","1990-08-17","1","Surface Water","<0.5","0.006","1.1","0.07","0.45","0.44","0.04","28.9","0.5","0.41","2.6","30.8","<0.2","8.6","<0.002","<0.002","0.011","1","1","9.3","139","0.8","0.03","0.8"
"Southern","SM1","1990-08-17","1","Middle Water","0.5","0.006","3.5","0.08","0.49","0.48","0.05","26.3","2.5","0.55","2.6","32.9","<0.2","8.5","0.002","0.002","0.008","2","2","7.3","103","4","0.039","1.9"
"Southern","SM1","1990-08-17","1","Bottom Water","1","0.002","4.9","0.03","0.57","0.5","0.09","23.5","3","0.91","2.6","34.9","0.2","8.4","0.003","0.017","0.056","3","3","4.7","63","3.2","0.02","1.1"
"Southern","SM1","1990-10-15","1","Surface Water","1","0.001","4","0.04","0.43","0.42","0.02","26.8","3.5","0.65","1.8","32","<0.2","8.2","<0.002","0.006","<0.002","5","5","7.1","101","1.6","0.007","0.9"
"Southern","SM1","1990-10-15","1","Middle Water","0.5","0.001","4","0.04","0.54","0.53","0.01","26.7","3","0.63","1.8","32.1","0.8","8.2","0.008","0.003","<0.002","13","10","6.6","95","1.6","0.007","0.9"
"Southern","SM1","1990-10-15","1","Bottom Water","1","0.001","5","0.03","0.62","0.61","0.02","26.4","4","0.38","1.8","32.3","<0.2","8.2","0.003","0.007","<0.002","1","1","6.6","93","1.3","0.01","0.8"
"Southern","SM1","1990-12-17","1","Surface Water","<0.5","0.001","3.9","0.04","0.52","0.52","0.02","19.6","2.5","0.56","3","33","0.2","8.1","<0.002","<0.002","<0.002","1","1","7.7","104","2.9","0.012","0.3"
"Southern","SM1","1990-12-17","1","Middle Water","2","0.001","4.8","0.05","0.52","0.52","0.03","19.4","3","0.36","3","33","<0.2","8.1","0.004","<0.002","<0.002","1","1","7.8","104","3.5","0.024","0.8"
"Southern","SM1","1990-12-17","1","Bottom Water","<0.5","0.001","4.9","0.08","0.32","0.32","0.01","19.1","2","0.41","3","32.9","0.3","8.1","0.003","<0.002","<0.002","1","1","4.5","113","1.6","0.007","0.6"
"Southern","SM1","1991-02-26","1","Surface Water","1","0.002","2.2","0.05","1.58","1.5","0.14","16.7","4.5","0.65","2","31.9","0.3","8.2","0.028","0.003","0.075","10","9","7.4","84","1.3","0.059","0.8"
"Southern","SM1","1991-02-26","1","Middle Water","1","0.003","2.1","0.03","1.64","1.6","0.11","16.7","1","0.62","2","31.9","0.7","8.3","0.023","0.003","0.037","29","21","7.2","81","0.8","0.071","0.7"
"Southern","SM1","1991-02-26","1","Bottom Water","1","0.002","2.1","0.04","1.34","1.3","0.09","16.6","4.5","0.62","2","31.9","0.8","8.2","0.017","0.002","0.037","68","68","7.1","80","0.5","0.049","1.2"
"Southern","SM1","1991-04-29","1","Surface Water","0.5","0.007","1.1","0.05","0.6","0.58","0.16","24","1","0.27","3.5","33.7","<0.2","8.1","0.024","0.002","0.018","1","1","6.7","90","1.3","0.135","1.2"
"Southern","SM1","1991-04-29","1","Middle Water","0.5","0.005","2.7","0.09","0.3","0.28","0.13","23","1.5","0.41","3.5","33.6","0.9","8.1","0.045","<0.002","0.015","1","1","6.6","87","<0.2","0.115","0.8"
"Southern","SM1","1991-04-29","1","Bottom Water","1.5","0.005","3","0.1","0.59","0.57","0.12","22.6","2.5","0.28","3.5","33.6","0.4","8.1","0.019","0.002","0.015","3","2","6.3","82","1.1","0.104","0.8"
"Southern","SM1","1991-06-27","1","Surface Water","1","0.002","1.5","0.04","0.93","0.88","0.08","24.5","1.5","0.07","2.8","31.2","3","8.2","<0.002","0.011","0.036","3","3","6.3","91","4.8","0.029","1.2"
"Southern","SM1","1991-06-27","1","Middle Water","2","0.002","1.5","0.04","0.9","0.85","0.08","24.1","5","0.1","2.8","31.7","2.4","8.2","<0.002","0.013","0.041","11","11","5.5","79","4.5","0.027","0.9"
"Southern","SM1","1991-06-27","1","Bottom Water","1.5","0.003","4.7","0.07","0.93","0.87","0.12","22.9","7","0.48","2.8","32.9","1.9","8.1","0.009","0.017","0.044","20","10","4.7","67","0.5","0.062","0.5"
"Southern","SM1","1991-08-23","1","Surface Water","<0.5","0.003","1.1","0.14","0.22","0.22","0.04","24.8","0.5","0.16","2.5","30.6","1.6","8.3","0.014","<0.002","<0.002","43","1","8.4","123","2.1","0.039","1.3"
"Southern","SM1","1991-08-23","1","Middle Water","0.5","0.005","1.2","0.17","0.33","0.33","0.08","23.9","1","0.13","2.5","30.8","2.8","8.2","0.015","<0.002","<0.002","1","1","6.6","94","2.4","0.073","1.3"
"Southern","SM1","1991-08-23","1","Bottom Water","0.5","0.003","4.3","0.14","0.33","0.29","0.1","23.5","4.5","0.62","2.5","31.1","2.5","8.1","0.018","0.02","0.02","2","2","4.6","66","1.1","0.055","0.5"
"Southern","SM1","1991-10-24","1","Surface Water","2","0.001","4.9","0.08","0.54","0.51","0.05","23.4","3.5","1.2","1.6","33.2","4.4","8.3","0.008","0.012","0.018","1","1","7.5","108","<0.2","0.019","0.3"
"Southern","SM1","1991-10-24","1","Middle Water","2","0.001","4.6","0.05","0.34","0.3","0.05","23.2","3.5","1.2","1.6","33.2","2.1","8.2","0.009","0.017","0.027","16","12","7.4","105","<0.2","0.01","0.3"
"Southern","SM1","1991-10-24","1","Bottom Water","2","0.001","5.1","0.06","0.25","0.19","0.06","23","4.5","1.3","1.6","33.2","1.2","8.2","0.012","0.023","0.032","35","27","6.7","95","0.3","0.006","0.2"
"Southern","SM1","1991-12-11","1","Surface Water","0.5","0.004","2.1","0.07","0.38","0.21","0.19","19.2","1.5","1.2","2","34.4","0.9","8.7","0.015","0.047","0.118","4","4","12.8","155","<0.2","0.028","1.7"
"Southern","SM1","1991-12-11","1","Middle Water","0.5","0.008","1.9","0.06","0.39","0.26","0.18","19","2","1.2","2","34.5","0.7","8.8","0.016","0.014","0.111","2","2","11.3","136","<0.2","0.055","1.2"
"Southern","SM1","1991-12-11","1","Bottom Water","0.5","0.003","2.7","0.08","0.38","0.22","0.18","18.9","2","1","2","34.7","<0.2","8.8","0.021","0.04","0.115","7","7","10.5","126","0.5","0.023","1.2"
"Southern","SM1","1992-02-28","1","Surface Water","1","0.001","1.9","0.06","0.25","0.21","0.08","16.6","1.5","0.84","2.5","32.1","1.2","8.1","<0.002","0.01","0.034","1","1","8.8","109","1.1","0.032","1.5"
"Southern","SM1","1992-02-28","1","Middle Water","1","0.001","2.4","0.1","0.26","0.19","0.09","15.6","2.5","0.82","2.5","32.1","0.7","8.1","0.003","0.02","0.052","1","1","8.1","99","0.3","0.02","1.1"
"Southern","SM1","1992-02-28","1","Bottom Water","1","0.001","3.1","0.1","0.25","0.17","0.09","15.3","3","0.86","2.5","32.1","0.7","8","0.003","0.028","0.048","1","1","7.7","94","0.3","0.013","1"
"Southern","SM1","1992-05-01","1","Surface Water","<0.5","0.003","1.2","0.07","0.34","0.28","0.1","23.6","1","0.6","3.5","30.6","<0.2","8.3","0.009","0.004","0.059","1","1","7.8","111","1.1","0.04","1.7"
"Southern","SM1","1992-05-01","1","Middle Water","<0.5","0.003","0.9","0.08","0.19","0.17","0.06","22","1","0.3","3.5","31.3","<0.2","8.3","0.006","<0.002","0.016","1","1","7.9","110","1.6","0.044","1.2"
"Southern","SM1","1992-05-01","1","Bottom Water","0.5","0.002","1.2","0.08","0.17","0.14","0.06","21.4","1.5","0.35","3.5","32.6","<0.2","8.1","0.008","<0.002","0.027","1","1","6.2","85","0.5","0.033","0.9"
"Southern","SM1","1992-06-25","1","Surface Water","0.5","0.001","1.8","0.04","0.65","0.15","0.5","29.6","1.5","3.11","2.4","16.6","<0.2","8.5","0.032","0.017","0.481","1","1","8.3","124","4.3","<0.005","1.1"
"Southern","SM1","1992-06-25","1","Middle Water","1","0.001","1.8","0.1","0.17","0.16","0.02","25.9","1.5","0.28","2.4","32.3","1.8","8.4","0.006","<0.002","0.003","1","1","8.3","116","6.4","0.012","1.6"
"Southern","SM1","1992-06-25","1","Bottom Water","1.5","0.001","5.7","0.13","0.21","0.11","0.12","23.4","9","1.04","2.4","34.1","1.5","8.2","0.017","0.015","0.082","1","1","3.9","51","4.8","0.018","1.1"
"Southern","SM1","1992-08-10","1","Surface Water","1","0.005","1.2","0.16","0.68","0.54","0.18","29.9","1.5","2.17","3.5","23.7","2.5","8.3","0.008","0.005","0.133","1","1","8.6","135","1.6","0.044","1.6"
"Southern","SM1","1992-08-10","1","Middle Water","1","0.005","1.9","0.12","0.51","0.49","0.06","25.5","3.5","1.76","3.5","32.6","4.4","8.5","0.009","0.003","0.021","110","40","4.5","67","1.6","0.04","2.7"
"Southern","SM1","1992-08-10","1","Bottom Water","1","0.002","1.4","0.11","0.34","0.29","0.09","22.5","1.5","0.9","3.5","33.9","3.4","8","0.018","0.013","0.036","1","1","3.5","48","<0.2","0.042","0.7"
"Southern","SM1","1992-10-07","1","Surface Water","1.5","0.002","5.8","0.24","0.5","0.45","0.07","27.9","6.5","0.72","1.5","32.9","1.1","8.3","0.03","0.023","0.026","3","1","4.9","74","2.7","0.024","0.9"
"Southern","SM1","1992-10-07","1","Middle Water","1.5","0.002","5.2","0.26","0.59","0.53","0.09","27.8","5.5","0.71","1.5","33","1.1","8.2","0.016","0.024","0.033","4","3","5","76","2.7","0.028","0.8"
"Southern","SM1","1992-10-07","1","Bottom Water","1","0.003","4.7","0.27","0.51","0.46","0.08","27.7","5","0.7","1.5","33","<0.2","8.2","0.013","0.022","0.025","10","7","4.7","72","3.2","0.031","1"
